"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 20:57:49 GMT 2024","Fri Nov 08 20:57:51 GMT 2024","1080","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:58:13 GMT 2024","Fri Nov 08 20:58:17 GMT 2024","4498","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Nov 08 20:57:53 GMT 2024","Fri Nov 08 20:58:00 GMT 2024","7550","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Nov 08 20:58:04 GMT 2024","Fri Nov 08 20:58:07 GMT 2024","3011","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Nov 08 20:58:20 GMT 2024","Fri Nov 08 20:58:22 GMT 2024","1877","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Nov 08 20:58:16 GMT 2024","Fri Nov 08 20:58:19 GMT 2024","3596","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Nov 08 20:58:08 GMT 2024","Fri Nov 08 20:58:09 GMT 2024","1109","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Nov 08 20:58:02 GMT 2024","Fri Nov 08 20:58:04 GMT 2024","1581","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Nov 08 20:58:18 GMT 2024","Fri Nov 08 20:58:25 GMT 2024","6464","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Nov 08 20:57:57 GMT 2024","Fri Nov 08 20:58:00 GMT 2024","2860","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:58:10 GMT 2024","Fri Nov 08 20:58:12 GMT 2024","1971","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Nov 08 20:58:01 GMT 2024","Fri Nov 08 20:58:02 GMT 2024","1036","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Nov 08 20:58:04 GMT 2024","Fri Nov 08 20:58:06 GMT 2024","1880","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Nov 08 20:58:01 GMT 2024","Fri Nov 08 20:58:03 GMT 2024","2682","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:57:48 GMT 2024","Fri Nov 08 20:57:49 GMT 2024","1404","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:57:48 GMT 2024","Fri Nov 08 20:57:49 GMT 2024","1361","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:58:12 GMT 2024","Fri Nov 08 20:58:15 GMT 2024","2573","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Nov 08 20:58:07 GMT 2024","Fri Nov 08 20:58:10 GMT 2024","3235","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Nov 08 20:57:53 GMT 2024","Fri Nov 08 20:57:57 GMT 2024","3719","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Nov 08 20:58:26 GMT 2024","Fri Nov 08 20:58:28 GMT 2024","2147","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
